date,value
25/04/2021,2.75
24/04/2021,2.75
23/04/2021,2.75
22/04/2021,2.75
21/04/2021,2.75
20/04/2021,2.75
19/04/2021,2.75
18/04/2021,2.75
17/04/2021,2.75
16/04/2021,2.75
15/04/2021,2.75
14/04/2021,2.75
13/04/2021,2.75
12/04/2021,2.75
11/04/2021,2.75
10/04/2021,2.75
09/04/2021,2.75
08/04/2021,2.75
07/04/2021,2.75
06/04/2021,2.75
05/04/2021,2.75
04/04/2021,2.75
03/04/2021,2.75
02/04/2021,2.75
01/04/2021,2.75
31/03/2021,2.75
30/03/2021,2.75
29/03/2021,2.75
28/03/2021,2.75
27/03/2021,2.75
26/03/2021,2.75
25/03/2021,2.75
24/03/2021,2.75
23/03/2021,2.75
22/03/2021,2.75
21/03/2021,2.75
20/03/2021,2.75
19/03/2021,2.75
18/03/2021,2.75
17/03/2021,2.00
16/03/2021,2.00
15/03/2021,2.00
14/03/2021,2.00
13/03/2021,2.00
12/03/2021,2.00
11/03/2021,2.00
10/03/2021,2.00
09/03/2021,2.00
08/03/2021,2.00
07/03/2021,2.00
06/03/2021,2.00
05/03/2021,2.00
04/03/2021,2.00
03/03/2021,2.00
02/03/2021,2.00
01/03/2021,2.00
28/02/2021,2.00
27/02/2021,2.00
26/02/2021,2.00
25/02/2021,2.00
24/02/2021,2.00
23/02/2021,2.00
22/02/2021,2.00
21/02/2021,2.00
20/02/2021,2.00
19/02/2021,2.00
18/02/2021,2.00
17/02/2021,2.00
16/02/2021,2.00
15/02/2021,2.00
14/02/2021,2.00
13/02/2021,2.00
12/02/2021,2.00
11/02/2021,2.00
10/02/2021,2.00
09/02/2021,2.00
08/02/2021,2.00
07/02/2021,2.00
06/02/2021,2.00
05/02/2021,2.00
04/02/2021,2.00
03/02/2021,2.00
02/02/2021,2.00
01/02/2021,2.00
31/01/2021,2.00
30/01/2021,2.00
29/01/2021,2.00
28/01/2021,2.00
27/01/2021,2.00
26/01/2021,2.00
25/01/2021,2.00
24/01/2021,2.00
23/01/2021,2.00
22/01/2021,2.00
21/01/2021,2.00
20/01/2021,2.00
19/01/2021,2.00
18/01/2021,2.00
17/01/2021,2.00
16/01/2021,2.00
15/01/2021,2.00
14/01/2021,2.00
13/01/2021,2.00
12/01/2021,2.00
11/01/2021,2.00
10/01/2021,2.00
09/01/2021,2.00
08/01/2021,2.00
07/01/2021,2.00
06/01/2021,2.00
05/01/2021,2.00
04/01/2021,2.00
03/01/2021,2.00
02/01/2021,2.00
01/01/2021,2.00
31/12/2020,2.00
30/12/2020,2.00
29/12/2020,2.00
28/12/2020,2.00
27/12/2020,2.00
26/12/2020,2.00
25/12/2020,2.00
24/12/2020,2.00
23/12/2020,2.00
22/12/2020,2.00
21/12/2020,2.00
20/12/2020,2.00
19/12/2020,2.00
18/12/2020,2.00
17/12/2020,2.00
16/12/2020,2.00
15/12/2020,2.00
14/12/2020,2.00
13/12/2020,2.00
12/12/2020,2.00
11/12/2020,2.00
10/12/2020,2.00
09/12/2020,2.00
08/12/2020,2.00
07/12/2020,2.00
06/12/2020,2.00
05/12/2020,2.00
04/12/2020,2.00
03/12/2020,2.00
02/12/2020,2.00
01/12/2020,2.00
